,prim_key,car1,car3,car5,car5_resid,RoA,log_total_asset,SUE_earcalldate,leverage,GVKEY,fyear_qtr,cogs_growth_last_year_qtr,sales_growth_last_year_qtr,cash_ratio,debt_assets,debt_capital,cogs_growth_last_qtr,sales_growth_last_qtr,workingcap,oper_lev,quick_ratio,curr_ratio,cash_conversion,inv_turn,asset_turn
0,GV_180279_2010Q1,0.0341962974,0.020179238000000002,0.00221328639999999,1.81025984133387e-14,-1.32023161626954,-1.30617062289624,,0.034554072295975,GV_180279,2010Q1,-0.25167439464193697,0.154344889689329,0.306,1.038,1.048,-0.0684624017957352,-0.0534244046520214,51.946000000000005,-8.742710997,1.785,2.041,105.863,2.2640000000000002,0.648
1,GV_025180_2008Q1,-0.11120095099999999,-0.161409464,-0.20419600300000001,-0.217479958357232,0.10951546633565501,0.29477769904415196,0.0946686673366683,-0.0049011720330165605,GV_025180,2008Q1,0.32511499540018396,0.34068737805793203,0.163,0.581,0.435,-0.18644450720135503,-0.17709916632122,702.3,6.711495116,0.762,1.306,60.565,5.022,1.534
2,GV_025180_2009Q1,-0.070365286,0.020905846000000002,0.097070235,0.0732832338238461,0.0254553896927612,0.247730901881105,-0.1449979313998,-0.0049578476264946205,GV_025180,2009Q1,-0.14176617606220498,-0.142113511698198,0.20199999999999999,0.573,0.42700000000000005,-0.293034427542034,-0.289495642499536,1055.0,-5.312651646,0.816,1.5190000000000001,52.256,5.386,1.729
3,GV_025180_2010Q1,-0.058702162,-0.066542403,-0.07620175400000001,-0.0897668666849925,-0.0731815723709906,0.281513165317859,-0.160188665512172,-0.004882990973019,GV_025180,2010Q1,-0.13395890632583698,-0.133424675409408,0.218,0.519,0.359,-0.298335299515009,-0.273095446584939,1075.3,-10.99503311,0.932,1.6230000000000002,73.042,4.213,1.324
4,GV_025180_2011Q1,0.048669396,0.066917447,0.057500949,0.0490698059087192,0.153574512866788,0.36942213897582105,0.359691635888154,-0.00510322929923825,GV_025180,2011Q1,0.312721838221558,0.3534859207950611,0.272,0.516,0.353,-0.18319190979890695,-0.17080258302582998,1109.5,6.016398929,0.987,1.632,79.688,4.546,1.314
5,GV_025180_2012Q1,0.039331715,0.013822642,0.015099676999999999,0.00954297146202912,0.18517714996357001,0.543247935780073,0.146581366878339,-0.00450062289730226,GV_025180,2012Q1,0.236160523694322,0.264782777994103,0.249,0.544,0.396,-0.10998975409836098,-0.0969497180077847,1509.4,5.1140350880000005,0.9540000000000001,1.661,70.867,4.902,1.382
6,GV_025180_2013Q1,0.021439487000000004,0.041730965,0.068095093,0.0553001003959971,0.169155861375685,0.565024151779736,-0.0359411612372467,-0.00470692314862745,GV_025180,2013Q1,0.0473723594082772,0.0569116418173022,0.217,0.556,0.409,-0.14186002641011097,-0.11108234075608502,1691.5,8.910270671000001,0.914,1.604,69.404,4.695,1.33
7,GV_025180_2009Q2,-0.007804806,0.053018395,0.048132583,0.0183917561636496,0.11165048587183099,0.2749121647283,-0.345994656006971,-0.00502378918219081,GV_025180,2009Q2,-0.251718612704812,-0.26233614427653,0.171,0.565,0.415,0.17108882057919403,0.152867488745351,1047.9,8.028169014,0.728,1.449,68.085,4.42,1.6219999999999999
8,GV_025180_2010Q2,0.048374793,0.07087477,0.124306026,0.11123570613223,0.128734376622263,0.28548601094088,0.00164616237506214,-0.00491930242699014,GV_025180,2010Q2,-0.0397872487393798,-0.0135823429541596,0.27,0.523,0.364,0.2984307864748739,0.31230236410179196,1120.4,52.18562874,0.836,1.6269999999999998,97.434,3.838,1.276
9,GV_025180_2011Q2,-0.043491630999999996,-0.021669354,-0.05709159999999999,-0.043515895931332996,0.298071898718266,0.41618354523649104,0.302462557330745,-0.00511923891323298,GV_025180,2011Q2,0.31868210920077694,0.35318416523235796,0.259,0.508,0.34299999999999997,0.304326170485271,0.31200979028759,1428.8,4.983308684,0.8859999999999999,1.6130000000000002,88.072,4.22,1.379
10,GV_025180_2012Q2,0.075447493,0.025385239,0.004171192,-0.0017385672028269901,0.399349976914604,0.5378246677694071,0.32953680011145803,-0.00454851395572693,GV_025180,2012Q2,0.11090502427581697,0.140549478504197,0.226,0.561,0.42,0.172163702296667,0.18313761709988102,1759.6,-38.15744681,0.871,1.6540000000000001,81.308,4.194,1.379
11,GV_025180_2013Q2,0.037198607,0.056259141,0.003774656,-0.00879781393684795,0.382210855689334,0.582725468469827,-0.00465355876989155,-0.004788801689234371,GV_025180,2013Q2,0.123011196228639,0.133117727965503,0.23399999999999999,0.551,0.39899999999999997,0.256814684546054,0.268444925304815,1741.9,12.51827515,0.883,1.703,86.556,3.998,1.308
12,GV_025180_2008Q3,0.12880449300000002,0.129435437,-0.032005236,-0.0270451312987212,0.260192545808585,0.296118162558103,0.0525013728420386,-0.004938486146881521,GV_025180,2008Q3,0.310625636207032,0.292870427774334,0.20800000000000002,0.565,0.42,-0.13485294877758802,-0.12941471153043302,769.2,-5.303662258,0.696,1.36,66.003,4.677,1.614
13,GV_025180_2009Q3,-0.017621371,0.004471223,0.07268731,0.0837608374129438,-0.0689377205037552,0.276178075083802,-0.35604506352897397,-0.00504066678043025,GV_025180,2009Q3,-0.333253674274107,-0.33370096863911,0.154,0.5479999999999999,0.397,-0.22912205567451802,-0.213638936049802,1071.0,132.3333333,0.741,1.5090000000000001,77.926,4.152,1.541
14,GV_025180_2010Q3,-0.041245876,-0.007098126999999999,-0.008461145,-0.0162767567763548,0.11515725187211201,0.31405229334803103,0.336479848785117,-0.00503891519714456,GV_025180,2010Q3,0.1834229390681,0.192803166606693,0.298,0.526,0.365,-0.049924465865765,-0.0491107286288009,1229.0,6.712839206,0.871,1.631,94.499,3.909,1.265
15,GV_025180_2011Q3,0.067029905,0.099096175,0.129707705,0.11169012599197001,0.172107234904396,0.36123238401951796,0.0665476049611089,-0.005235950386836771,GV_025180,2011Q3,0.252896191413644,0.26650174972849,0.255,0.503,0.336,-0.0973214772789263,-0.110022894937675,1323.0,-3.799963794,0.883,1.624,86.94,4.254,1.412
16,GV_025180_2012Q3,-0.02157415,-0.046727202,-0.050321932,-0.0585416550098075,0.127228109450236,0.529246260063178,0.0202491850506881,-0.004678765973261121,GV_025180,2012Q3,0.0662355714026711,0.0933257110190082,0.20600000000000002,0.57,0.434,-0.133618149675899,-0.14687186349949802,1702.4,-20.82577132,0.8690000000000001,1.6840000000000002,82.65799999999999,4.093999999999999,1.357
17,GV_025180_2013Q3,-0.095662655,-0.090444717,-0.088512052,-0.0946908880052603,0.176339273527476,0.58977309566624,0.0649165093681088,-0.00487880137123805,GV_025180,2013Q3,0.058380094088306994,0.0788235294117648,0.249,0.5479999999999999,0.392,-0.18347981984345604,-0.187750147628108,1761.9,25.00909091,0.8859999999999999,1.665,83.884,4.1160000000000005,1.328
18,GV_025180_2007Q4,-0.012102876,0.046420612,0.09654735199999999,0.0834250052635885,0.210566779321745,0.26286555558694796,1.1194419944608798,-0.00486862000088518,GV_025180,2007Q4,0.32048031026253004,0.328865222181418,0.28,0.573,0.42700000000000005,0.38634406076266603,0.346001239925604,638.4,6.2930434779999995,0.6990000000000001,1.4569999999999999,78.516,4.178,1.4909999999999999
19,GV_025180_2008Q4,-0.069233445,-0.017482294,-0.099528935,-0.0938832385008115,0.266573361675053,0.283110277630993,0.0345846460166891,-0.00485044327850923,GV_025180,2008Q4,-0.0123693871787631,-0.00640228455621579,0.276,0.605,0.466,0.0446887322260724,0.0344298455931714,1026.7,-19.52217195,0.7,1.3359999999999999,62.691,4.851,1.6569999999999998
20,GV_025180_2009Q4,0.037148929,0.075788379,0.072044237,0.0603044377381561,0.0139436459391016,0.29575712007003,-0.245449315865295,-0.0050320114179955,GV_025180,2009Q4,-0.127416218689237,-0.152976080103838,0.38,0.526,0.35200000000000004,0.36720430107526897,0.315005397625045,1070.8,11.053841499999999,0.764,1.5959999999999999,89.176,3.785,1.411
